Date,Site,Sets,Species,Adipose Status,Estimated Catch,,,,EXAMPLE,,,,,,,
5/27/2025,Channel Break,10,Chinook,NM,700,,,,Date,Site,Sets,Species,Adipose Status,Estimated Catch,,
5/27/2025,Channel Break,,Coho,AD,4,,,,5/31/2022,Echo,4,Chinook,NM,150,,Only enter the number of sets once for each site visit
5/27/2025,Channel Break,,Steelhead,NM,1,,,,5/31/2022,Echo,,Coho,NM,9,,
5/27/2025,Above Johnson Creek,9,Chinook,NM,700,,,,5/31/2022,Echo,,Coho,AD,54,,
5/27/2025,Hatchery,2,Chinook,NM,25,,,Species,Chinook,,,,,,,
5/27/2025,CCR Hole,2,Chinook,NM,45,,,Adipose Status,NM,,,,,,,
5/27/2025,Below Johnson Creek,5,Chinook,NM,4,,,,,,,,,,,
5/27/2025,Haapa Inside,6,Chinook,NM,5,,,Row Labels,Count of Sets,Sum of Estimated Catch,,,,,,
5/27/2025,Across Loomis Cove,5,Chinook,NM,25,,,5/27/2025,10,3319,,,,,,
5/27/2025,Cutthroat Island,6,Chinook,NM,15,,,5/28/2025,12,3315,,,,,,
5/27/2025,Golf Course,9,Chinook,NM,1000,,,5/30/2025,11,2938,,,,,,
5/27/2025,Golf Course,,Coho,AD,15,,,6/2/2025,10,6039,,,,,,
5/27/2025,Fart Bogg,3,Chinook,NM,800,,,6/3/2025,7,2955,,,,,,
5/27/2025,Fart Bogg,,Coho,NM,7,,,6/4/2025,16,4678,,,,,,
5/27/2025,Fart Bogg,,Coho,AD,6,,,6/5/2025,11,2830,,,,,,
5/28/2025,Golf Course,13,Chinook,NM,2000,,,6/6/2025,12,2059,,,,,,
5/28/2025,Golf Course,,Coho,AD,15,,,6/9/2025,5,2190,,,,,,
5/28/2025,Golf Course,,Coho,NM,12,,,6/10/2025,15,779,,,,,,
5/28/2025,Fart Bogg,8,Chinook,NM,250,,,6/11/2025,8,3527,,,,,,
5/28/2025,Fart Bogg,,Coho,AD,6,,,6/12/2025,12,1625,,,,,,
