Year,Run,Origin,Age_Composition,Median,SD,%CV
2013 ,Spring ,HOS ,ij ,77 ,44 ,50 
2013 ,Spring ,NOS ,ij ,49 ,34 ,59 
2013 ,Spring ,HOS ,ej ,75 ,43 ,50 
2013 ,Spring ,NOS ,ej ,44 ,28 ,55 
2013 ,Fall-Tule ,HOS ,ij ,984 ,134 ,14 
2013 ,Fall-Tule ,NOS ,ij ,"2,171 ",404 ,19 
2013 ,Fall-Tule ,HOS ,ej ,965 ,129 ,13 
2013 ,Fall-Tule ,NOS ,ej ,"2,006 ",358 ,18 
2013 ,Fall-Bright ,HOS ,ij ,333 ,68 ,20 
2013 ,Fall-Bright ,NOS ,ij ,"17,138 ",500 ,3 
2013 ,Fall-Bright ,HOS ,ej ,325 ,67 ,20 
2013 ,Fall-Bright ,NOS ,ej ,"16,291 ",453 ,3 
2014 ,Spring ,HOS ,ij ,54 ,45 ,67 
2014 ,Spring ,NOS ,ij ,15 ,16 ,81 
2014 ,Spring ,HOS ,ej ,54 ,45 ,67 
2014 ,Spring ,NOS ,ej ,14 ,15 ,80 
2014 ,Fall-Tule ,HOS ,ij ,"1,895 ",153 ,8 
2014 ,Fall-Tule ,NOS ,ij ,"1,915 ",430 ,22 
2014 ,Fall-Tule ,HOS ,ej ,"1,874 ",150 ,8 
2014 ,Fall-Tule ,NOS ,ej ,"1,826 ",410 ,22 
2014 ,Fall-Bright ,HOS ,ij ,310 ,84 ,26 
2014 ,Fall-Bright ,NOS ,ij ,"19,928 ",636 ,3 
2014 ,Fall-Bright ,HOS ,ej ,309 ,84 ,26 
2014 ,Fall-Bright ,NOS ,ej ,"19,198 ",619 ,3 
2015 ,Spring ,HOS ,ij ,59 ,31 ,47 
2015 ,Spring ,NOS ,ij ,11 ,7 ,54 
2015 ,Spring ,HOS ,ej ,58 ,31 ,48 
2015 ,Spring ,NOS ,ej ,11 ,7 ,54 
2015 ,Fall-Tule ,HOS ,ij ,"3,211 ",265 ,8 
2015 ,Fall-Tule ,NOS ,ij ,"1,954 ",393 ,19 
2015 ,Fall-Tule ,HOS ,ej ,"3,162 ",261 ,8 
2015 ,Fall-Tule ,NOS ,ej ,"1,914 ",384 ,19 
2015 ,Fall-Bright ,HOS ,ij ,329 ,185 ,48 
2015 ,Fall-Bright ,NOS ,ij ,"18,835 ",1272 ,7 
2015 ,Fall-Bright ,HOS ,ej ,324 ,182 ,47 
2015 ,Fall-Bright ,NOS ,ej ,"18,389 ",1236 ,7 
2016 ,Spring ,HOS ,ij ,20 ,13 ,57 
2016 ,Spring ,NOS ,ij ,12 ,9 ,64 
2016 ,Spring ,HOS ,ej ,20 ,12 ,52 
2016 ,Spring ,NOS ,ej ,11 ,7 ,56 
2016 ,Fall-Tule ,HOS ,ij ,"2,020 ",244 ,12 
2016 ,Fall-Tule ,NOS ,ij ,"1,350 ",223 ,16 
2016 ,Fall-Tule ,HOS ,ej ,"1,948 ",220 ,11 
2016 ,Fall-Tule ,NOS ,ej ,"1,273 ",200 ,16 
2016 ,Fall-Bright ,HOS ,ij ,51 ,98 ,112 
2016 ,Fall-Bright ,NOS ,ij ,"9,236 ",258 ,3 
2016 ,Fall-Bright ,HOS ,ej ,49 ,94 ,112 
2016 ,Fall-Bright ,NOS ,ej ,"9,018 ",246 ,3 
2017 ,Spring ,HOS ,ij ,41 ,38 ,75 
2017 ,Spring ,NOS ,ij ,23 ,24 ,82 
2017 ,Spring ,HOS ,ej ,40 ,38 ,75 
2017 ,Spring ,NOS ,ej ,22 ,23 ,82 
2017 ,Fall-Tule ,HOS ,ij ,"1,189 ",300 ,24 
2017 ,Fall-Tule ,NOS ,ij ,710 ,752 ,30 
2017 ,Fall-Tule ,HOS ,ej ,"1,182 ",298 ,24 
2017 ,Fall-Tule ,NOS ,ej ,691 ,221 ,30 
2017 ,Fall-Bright ,HOS ,ij ,200 ,110 ,48 
2017 ,Fall-Bright ,NOS ,ij ,"7,415 ",329 ,4 
2017 ,Fall-Bright ,HOS ,ej ,191 ,109 ,50 
2017 ,Fall-Bright ,NOS ,ej ,"7,250 ",316 ,4 
2018 ,Spring ,HOS ,ij ,105 ,32 ,29 
2018 ,Spring ,NOS ,ij ,25 ,10 ,39 
2018 ,Spring ,HOS ,ej ,102 ,29 ,28 
2018 ,Spring ,NOS ,ej ,22 ,8 ,34 
2018 ,Fall-Tule ,HOS ,ij ,597 ,78 ,13 
2018 ,Fall-Tule ,NOS ,ij ,611 ,211 ,33 
2018 ,Fall-Tule ,HOS ,ej ,572 ,71 ,12 
2018 ,Fall-Tule ,NOS ,ej ,540 ,180 ,32 
2018 ,Fall-Bright ,HOS ,ij ,82 ,45 ,49 
2018 ,Fall-Bright ,NOS ,ij ,"5,034 ",232 ,5 
2018 ,Fall-Bright ,HOS ,ej ,75 ,43 ,51 
2018 ,Fall-Bright ,NOS ,ej ,"4,460 ",199 ,4 
2019 ,Spring ,HOS ,ij ,81 ,30 ,35 
2019 ,Spring ,NOS ,ij ,34 ,14 ,38 
2019 ,Spring ,HOS ,ej ,78 ,28 ,34 
2019 ,Spring ,NOS ,ej ,32 ,13 ,36 
2019 ,Fall-Tule ,HOS ,ij ,345 ,78 ,23 
2019 ,Fall-Tule ,NOS ,ij ,656 ,340 ,47 
2019 ,Fall-Tule ,HOS ,ej ,333 ,75 ,23 
2019 ,Fall-Tule ,NOS ,ej ,619 ,320 ,47 
2019 ,Fall-Bright ,HOS ,ij ,142 ,65 ,41 
2019 ,Fall-Bright ,NOS ,ij ,"12,070 ",448 ,4 
2019 ,Fall-Bright ,HOS ,ej ,135 ,62 ,42 
2019 ,Fall-Bright ,NOS ,ej ,"11,561 ",428 ,4 
2020 ,Spring ,HOS ,ij ,67 ,59 ,71 
2020 ,Spring ,NOS ,ij ,32 ,30 ,75 
2020 ,Spring ,HOS ,ej ,65 ,58 ,71 
2020 ,Spring ,NOS ,ej ,31 ,29 ,75 
2020 ,Fall-Tule ,HOS ,ij ,"1,233 ",182 ,15 
2020 ,Fall-Tule ,NOS ,ij ,"1,776 ",432 ,24 
2020 ,Fall-Tule ,HOS ,ej ,"1,206 ",178 ,15 
2020 ,Fall-Tule ,NOS ,ej ,"1,708 ",409 ,23 
2020 ,Fall-Bright ,HOS ,ij ,344 ,127 ,35 
2020 ,Fall-Bright ,NOS ,ij ,"25,987 ",782 ,3 
2020 ,Fall-Bright ,HOS ,ej ,323 ,124 ,36 
2020 ,Fall-Bright ,NOS ,ej ,"25,109 ",749 ,3 
2021 ,Spring ,HOS ,ij ,506 ,363 ,60 
2021 ,Spring ,NOS ,ij ,111 ,82 ,62 
2021 ,Spring ,HOS ,ej ,498 ,357 ,60 
2021 ,Spring ,NOS ,ej ,108 ,81 ,62 
2021 ,Fall-Tule ,HOS ,ij ,"1,607 ",189 ,12 
2021 ,Fall-Tule ,NOS ,ij ,"1,312 ",384 ,28 
2021 ,Fall-Tule ,HOS ,ej ,"1,583 ",186 ,12 
2021 ,Fall-Tule ,NOS ,ej ,"1,285 ",373 ,28 
2021 ,Fall-Bright ,HOS ,ij ,238 ,116 ,45 
2021 ,Fall-Bright ,NOS ,ij ,"12,809 ",601 ,5 
2021 ,Fall-Bright ,HOS ,ej ,234 ,115 ,45 
2021 ,Fall-Bright ,NOS ,ej ,"12,500 ",586 ,5 
2022 ,Spring ,HOS ,ij ,822 ,492 ,53 
2022 ,Spring ,NOS ,ij ,137 ,97 ,61 
2022 ,Spring ,HOS ,ej ,812 ,485 ,53 
2022 ,Spring ,NOS ,ej ,128 ,84 ,57 
2022 ,Fall-Tule ,HOS ,ij ,"2,437 ",242 ,10 
2022 ,Fall-Tule ,NOS ,ij ,"2,463 ",501 ,20 
2022 ,Fall-Tule ,HOS ,ej ,"2,415 ",238 ,10 
2022 ,Fall-Tule ,NOS ,ej ,"2,332 ",467 ,20 
2022 ,Fall-Bright ,HOS ,ij ,134 ,119 ,69 
2022 ,Fall-Bright ,NOS ,ij ,"7,013 ",523 ,7 
2022 ,Fall-Bright ,HOS ,ej ,133 ,118 ,69 
2022 ,Fall-Bright ,NOS ,ej ,"6,671 ",491 ,7 
2023 ,Spring ,HOS ,ij ,63 ,63 ,78 
2023 ,Spring ,NOS ,ij ,21 ,26 ,91 
2023 ,Spring ,HOS ,ej ,62 ,62 ,78 
2023 ,Spring ,NOS ,ej ,20 ,25 ,91 
2023 ,Fall-Tule ,HOS ,ij ,18 ,33 ,120 
2023 ,Fall-Tule ,NOS ,ij ,"1,207 ",304 ,24 
2023 ,Fall-Tule ,HOS ,ej ,"1,741 ",172 ,10 
2023 ,Fall-Tule ,NOS ,ej ,"1,156 ",276 ,23 
2023 ,Fall-Bright ,HOS ,ij ,123 ,120 ,72 
2023 ,Fall-Bright ,NOS ,ij ,"8,215 ",423 ,5 
2023 ,Fall-Bright ,HOS ,ej ,114 ,118 ,75 
2023 ,Fall-Bright ,NOS ,ej ,"7,462 ",391 ,5 
2024 ,Spring ,HOS ,ij ,39 ,11 ,26 
2024 ,Spring ,NOS ,ij ,19 ,7 ,33 
2024 ,Spring ,HOS ,ej ,37 ,10 ,26 
2024 ,Spring ,NOS ,ej ,18 ,6 ,33 
2024 ,Fall-Tule ,HOS ,ij ,"2,895 ",160 ,6 
2024 ,Fall-Tule ,NOS ,ij ,"3,356 ",514 ,15 
2024 ,Fall-Tule ,HOS ,ej ,"2,744 ",148 ,5 
2024 ,Fall-Tule ,NOS ,ej ,"3,023 ",452 ,15 
2024 ,Fall-Bright ,HOS ,ij ,111 ,60 ,47 
2024 ,Fall-Bright ,NOS ,ij ,"14,357 ",654 ,5 
2024 ,Fall-Bright ,HOS ,ej ,94 ,55 ,50 
2024 ,Fall-Bright ,NOS ,ej ,"12,850 ",564 ,4 
